Energy(eV),eps1,eps2,n,kappa,alpha(cm^-1)
7.792549911765258575e-01,1.927567027401331712e+18,2.381379462163343680e+17,1.391004766358112812e+09,8.559925601111374795e+07,6.760722469199843750e+12
7.865970193951723477e-01,1.930280198554095616e+18,2.247702957495339840e+17,1.391690151170367956e+09,8.075443214156182110e+07,6.438166287911527344e+12
7.939390476138188379e-01,1.928983250511986432e+18,2.113814531575653120e+17,1.390955376547701120e+09,7.598426833871759474e+07,6.114407420112505859e+12
8.012810758324652172e-01,1.934122362914998528e+18,1.980958160370977920e+17,1.392544954437909126e+09,7.112726070558275282e+07,5.776496238015529297e+12
8.086231040511117074e-01,1.935224813770002432e+18,1.850167933333627200e+17,1.392708468595098972e+09,6.642337485030063987e+07,5.443905892736080078e+12
8.159651322697581977e-01,1.942552271997061632e+18,1.723030385847925120e+17,1.395122065027008533e+09,6.175195809173030406e+07,5.107000022584416992e+12
8.233071604884046879e-01,1.945945901743249664e+18,1.600233349820712320e+17,1.396148347045768738e+09,5.730885808828258514e+07,4.782193812785561523e+12
8.306491887070511781e-01,1.955103517903158272e+18,1.482682087629096000e+17,1.399253559335752726e+09,5.298117977748581767e+07,4.460492318226355469e+12
8.379912169256976684e-01,1.960569408937464064e+18,1.371168495058874560e+17,1.401058128228672504e+09,4.893331930461779237e+07,4.156116079207177246e+12
8.453332451443440476e-01,1.971172005628578048e+18,1.266255278729111360e+17,1.404707612583494902e+09,4.507184510804624110e+07,3.861684704695621094e+12
8.526752733629905379e-01,1.978419327374959360e+18,1.168440357903051520e+17,1.407175542357683897e+09,4.151722094122505188e+07,3.588025079451578613e+12
8.600173015816370281e-01,1.990064273823238400e+18,1.078051871498255040e+17,1.411213379379783392e+09,3.819592016524320096e+07,3.329413153295815430e+12
8.673593298002835184e-01,1.998756955652122368e+18,9.952930488687025600e+16,1.414211872008095741e+09,3.518896526640770584e+07,3.093492565233146973e+12
8.747013580189300086e-01,2.011054832124321280e+18,9.202158210448001600e+16,1.418487560586601973e+09,3.243651360129864514e+07,2.875659724564756836e+12
8.820433862375763878e-01,2.020840153493912832e+18,8.527554825747233600e+16,1.421878816634593725e+09,2.998692548894734681e+07,2.680806168093814941e+12
8.893854144562228781e-01,2.033446905548136704e+18,7.927402925952297600e+16,1.426260578472148418e+09,2.779086460639668629e+07,2.505160682403391113e+12
8.967274426748693683e-01,2.043987978829982976e+18,7.398829872305734400e+16,1.429915143269404650e+09,2.587156974709899724e+07,2.351401368177357910e+12
9.040694708935158586e-01,2.056625037086993664e+18,6.938237934428944800e+16,1.434297752323536634e+09,2.418688143096153811e+07,2.216282949280882812e+12
9.114114991121623488e-01,2.067626143709688576e+18,6.541302990863165600e+16,1.438104091747188568e+09,2.274280084592572600e+07,2.100883536295740723e+12
9.187535273308088390e-01,2.080093032165413120e+18,6.203102113877504000e+16,1.442413044307948351e+09,2.150251669712808356e+07,2.002312408378952637e+12
9.260955555494552183e-01,2.091318587171254528e+18,5.918311403031303200e+16,1.446283933188958883e+09,2.046040638086194173e+07,1.920496769530197510e+12
9.334375837681017085e-01,2.103505498706205440e+18,5.681394972415271200e+16,1.450478904795596600e+09,1.958454877775885910e+07,1.852859032145499023e+12
9.407796119867481988e-01,2.114795839783460352e+18,5.491531119599350400e+16,1.454356310821038961e+09,1.887959325627287105e+07,1.800213674546149414e+12
9.481216402053946890e-01,2.126599662459501824e+18,5.339791395820082400e+16,1.458401456645757914e+09,1.830700103694714978e+07,1.759238784339190186e+12
9.554636684240411793e-01,2.137785105101606400e+18,5.215838595246800800e+16,1.462225427950367212e+09,1.783527524397512525e+07,1.727179677379888428e+12
9.628056966426875585e-01,2.149283064984590336e+18,5.114437835861837600e+16,1.466147086775865793e+09,1.744176243295430392e+07,1.702050900605525635e+12
9.701477248613340487e-01,2.160409715864564224e+18,5.039455607225802400e+16,1.469933181013847351e+09,1.714178464816403016e+07,1.685533660724989990e+12
9.774897530799805390e-01,2.171656008815314944e+18,4.981404114036272800e+16,1.473750872190881491e+09,1.690042804395770282e+07,1.674377746753537598e+12
9.848317812986270292e-01,2.182703005951522048e+18,4.937522684678263200e+16,1.477491861635553360e+09,1.670913665545745753e+07,1.667859994425136719e+12
9.921738095172735195e-01,2.193807063400529664e+18,4.902539002076275200e+16,1.481243033385885239e+09,1.654873269131820835e+07,1.664163626167174561e+12
9.995158377359200097e-01,2.204857239793710592e+18,4.874560780004318400e+16,1.484966877510427475e+09,1.641302864672867209e+07,1.662730767935084717e+12
1.006857865954566389e+00,2.215974896291187968e+18,4.852007495822580800e+16,1.488704288422600508e+09,1.629607549852319434e+07,1.663009464974301514e+12
1.014199894173212879e+00,2.227149744035129856e+18,4.833149139096843200e+16,1.492451648870987892e+09,1.619197895875708014e+07,1.664435681148555176e+12
1.021541922391859369e+00,2.238432074128699392e+18,4.817356567709387200e+16,1.496225661923536539e+09,1.609836233364772983e+07,1.666792040041698975e+12
1.028883950610505638e+00,2.249873263068275456e+18,4.804564269088539200e+16,1.500043244498932123e+09,1.601475253033102676e+07,1.670052602355702393e+12
1.036225978829152128e+00,2.261471558354616576e+18,4.795428640367035200e+16,1.503903502984561205e+09,1.594327239364165254e+07,1.674462662278570312e+12
1.043568007047798618e+00,2.273334652513636352e+18,4.791310773709845600e+16,1.507841861822580099e+09,1.588797504241745733e+07,1.680477998761989990e+12
